_city,_country,_id,_neighborhood,_state,_user,invoiceType
594a76efa59a682d75e95b2c,5af46550a75edfe10769a1de,68cdc53d4df1edb2d36293c3,6513e9cd4c1b2d3f8f45a732,5970b9e348c611046777f8d6,68cdc4abff54fba43169e053,individual
594a7694a59a682d75e95b21,5af46550a75edfe10769a1de,68cdc66fff54fba43169e06d,6513e9b44c1b2d3f8f45a462,5970b5d748c611046777f8d3,68cdc5c24df1edb2d36293c6,individual
594a6e80a59a682d75e9591e,5af46550a75edfe10769a1de,68cdc762ff54fba43169e071,6513ed604c1b2d3f8f460bc8,5971e939c0979a0e99befaf7,68cdc72db9b2783e81797efb,individual
5985ecfe7f448a1403b05e97,5af46550a75edfe10769a1de,68d05105b9b2783e81799776,6513e9514c1b2d3f8f4599f6,5970af105a30c303f2e0712f,68cdc7efb9b2783e81797f01,individual
594a779efe41fe2daf974f20,5af46550a75edfe10769a1de,68cdc948b9b2783e81797f0b,6513ea024c1b2d3f8f45acbe,5970b9e348c611046777f8d6,68cdc8f04df1edb2d36293f9,individual
594a7082a59a682d75e959a2,5af46550a75edfe10769a1de,68cdcbe3ff54fba43169e07f,6513e6b14c1b2d3f8f455044,5970a6b4b6deb9031b7ab3fe,68cdcb9dff54fba43169e07e,individual
594a7a32c7b3892e6253c746,5af46550a75edfe10769a1de,68d011a54df1edb2d362a99d,6513eb2d4c1b2d3f8f45cd1e,5970c856c8f315059540a2bf,68cdcc104df1edb2d3629414,individual
594a7090a59a682d75e959a9,5af46550a75edfe10769a1de,68cdcdee4df1edb2d3629422,6513e6b84c1b2d3f8f4550f8,5970a6b4b6deb9031b7ab3fe,68cdcd474df1edb2d362941d,individual
594a6d79a59a682d75e958e3,5af46550a75edfe10769a1de,68cdd00cff54fba43169e098,6513de4e4c1b2d3f8f446d9e,59707cbac543e577fcfd6018,68cdce324df1edb2d3629423,individual
594a7455a59a682d75e95a7f,5af46550a75edfe10769a1de,68cdd14fb9b2783e81797f3a,6513e1db4c1b2d3f8f44cc04,5970927aaf324179fc618c07,68cdd11dff54fba43169e09b,individual
594a6b760347602d2acc156e,5af46550a75edfe10769a1de,68cdd2f54df1edb2d362944c,6513e47d4c1b2d3f8f451328,59709c7865d27c7f6c73f6a6,68cdd11eb9b2783e81797f38,individual
594a7225a59a682d75e959e6,5af46550a75edfe10769a1de,68cdd340ff54fba43169e0a6,6513e6e04c1b2d3f8f45554a,5970a8887501e5035df33489,68cdd21bb9b2783e81797f47,individual
594a708ba59a682d75e959a7,5af46550a75edfe10769a1de,68cdd6b7ff54fba43169e0b7,6513e6b64c1b2d3f8f4550ae,5970a6b4b6deb9031b7ab3fe,68cdd5a6b9b2783e81797f5b,individual
594a6ecda59a682d75e95931,5af46550a75edfe10769a1de,68cdd6ceb9b2783e81797f64,6513df1d4c1b2d3f8f448358,59707e3bc543e577fcfd601b,68cdd5c14df1edb2d362945e,individual
594a6be50347602d2acc158e,5af46550a75edfe10769a1de,68cdddcdff54fba43169e0e0,6513ddd64c1b2d3f8f4460d8,59707b93c543e577fcfd6017,68cdddb1b9b2783e81797f7a,individual
594a6c4b0347602d2acc15a8,5af46550a75edfe10769a1de,68d441891ef858fdbff902fb,6513de084c1b2d3f8f44668a,59707b93c543e577fcfd6017,68cde3b2ff54fba43169e0f0,individual
5985ed297f448a1403b05e9a,5af46550a75edfe10769a1de,68d65718ef200571731cfa95,6513dfca4c1b2d3f8f449446,597087cfc543e577fcfd601e,68cde5a2ff54fba43169e0f5,individual
594a6c3b0347602d2acc15a3,5af46550a75edfe10769a1de,68cdf27e4df1edb2d362948e,6513ddfe4c1b2d3f8f446564,59707b93c543e577fcfd6017,68cdf1f84df1edb2d362948d,individual
594a6f12a59a682d75e95942,5af46550a75edfe10769a1de,68cdfbc84df1edb2d362949a,6513df404c1b2d3f8f4486da,59707e3bc543e577fcfd601b,68cdfb80b9b2783e81797fb9,individual
