_country,_id,_state,name
5af46550a75edfe10769a1de,594a6c330347602d2acc159f,59709fbd72eb310169d0c228,ARABAN
5af46550a75edfe10769a1de,594a741ca59a682d75e95a73,5970ad2d26093803a844904b,ÇATALZEYTİN
5af46550a75edfe10769a1de,594a6fcca59a682d75e95968,59708762c543e577fcfd601d,ERDEK
5af46550a75edfe10769a1de,594a6634353f242c0559fa21,597074d2c543e577fcfd6011,TUFANBEYLİ
5af46550a75edfe10769a1de,594a74ffa59a682d75e95aa0,597093458e35627a5dac6cf1,ÇERKEŞ
5af46550a75edfe10769a1de,594a79bdc7b3892e6253c72b,5970c97cc1dbff05ce3804a9,MİLAS
5af46550a75edfe10769a1de,594a72efa59a682d75e95a20,5971f1a99491450fa99b2a3c,NİKSAR
5af46550a75edfe10769a1de,594a7013a59a682d75e95983,59708762c543e577fcfd601d,SAVAŞTEPE
5af46550a75edfe10769a1de,594a7087a59a682d75e959a5,597087cfc543e577fcfd601e,ULUS
5af46550a75edfe10769a1de,594a783f6b91a22dd9fa7823,597099cad668fd7dc97f3e4c,KAYNAŞLI
5af46550a75edfe10769a1de,594a68ad0347602d2acc14ec,5970756bc543e577fcfd6012,SİNCİK
5af46550a75edfe10769a1de,594a6fa8a59a682d75e9595c,59708762c543e577fcfd601d,BURHANİYE
5af46550a75edfe10769a1de,594a6fafa59a682d75e9595d,59708762c543e577fcfd601d,DURSUNBEY
5af46550a75edfe10769a1de,594a72bca59a682d75e95a11,5970aa5c6fdfa1036f82f343,AFŞİN
5af46550a75edfe10769a1de,594a68840347602d2acc14e6,5970756bc543e577fcfd6012,BESNİ
5af46550a75edfe10769a1de,594a6606353f242c0559fa1c,597074d2c543e577fcfd6011,KOZAN
5af46550a75edfe10769a1de,594a70bfa59a682d75e959af,5970880fc543e577fcfd601f,GERCÜŞ
5af46550a75edfe10769a1de,594a702da59a682d75e95989,5970a6b4b6deb9031b7ab3fe,GÜNGÖREN
5af46550a75edfe10769a1de,594a6e64a59a682d75e95913,59707d74c543e577fcfd601a,HOPA
5af46550a75edfe10769a1de,594a6b480347602d2acc155d,5971dff1eff8140d0c84ff9c,HASANBEYLİ
5af46550a75edfe10769a1de,594a6c200347602d2acc159a,59707b93c543e577fcfd6017,HAYMANA
5af46550a75edfe10769a1de,594a7264a59a682d75e959fd,59708f280f92b778ed04d655,MUDURNU
5af46550a75edfe10769a1de,594a6ffaa59a682d75e9597a,59708762c543e577fcfd601d,MANYAS
5af46550a75edfe10769a1de,594a6bf10347602d2acc1591,59709ef61a4337014c7b392e,SARICAKAYA
5af46550a75edfe10769a1de,594a7aaec7b3892e6253c763,5970c6ccc8f315059540a2bd,ŞEHZADELER
5af46550a75edfe10769a1de,594a6f0ea59a682d75e95940,59707e3bc543e577fcfd601b,NAZİLLİ
5af46550a75edfe10769a1de,594a6f19a59a682d75e95944,59707e3bc543e577fcfd601b,SULTANHİSAR
5af46550a75edfe10769a1de,594a7201a59a682d75e959d9,5970a8887501e5035df33489,BUCA
5af46550a75edfe10769a1de,594a725fa59a682d75e959fc,59708f280f92b778ed04d655,MENGEN
5af46550a75edfe10769a1de,594a6a2f0347602d2acc1518,59709aeb63c16d7e3264dbc9,AĞIN
5af46550a75edfe10769a1de,594a737aa59a682d75e95a42,5971fea19280ac14c2ce8ff9,DERNEKPAZARI
5af46550a75edfe10769a1de,594a6e4fa59a682d75e9590d,59707d74c543e577fcfd601a,ARDANUÇ
5af46550a75edfe10769a1de,594a6bc30347602d2acc157f,59709ef61a4337014c7b392e,İNÖNÜ
